True_Gesture,Predicted_Gesture,Count
Write name in air,Wave hello,32
Eyebrow - pull hair,Forehead - scratch,26
Pull air toward your face,Wave hello,26
Eyebrow - pull hair,Eyelash - pull hair,25
Forehead - scratch,Forehead - pull hairline,23
Cheek - pinch skin,Eyelash - pull hair,22
Forehead - pull hairline,Forehead - scratch,18
Neck - pinch skin,Eyelash - pull hair,17
Neck - scratch,Cheek - pinch skin,17
Eyelash - pull hair,Forehead - scratch,15
Neck - pinch skin,Above ear - pull hair,14
Neck - pinch skin,Neck - scratch,14
Neck - scratch,Eyelash - pull hair,14
Neck - pinch skin,Cheek - pinch skin,13
Neck - scratch,Above ear - pull hair,13
Eyebrow - pull hair,Forehead - pull hairline,12
Wave hello,Pull air toward your face,12
Wave hello,Write name in air,12
Cheek - pinch skin,Forehead - pull hairline,11
Cheek - pinch skin,Neck - pinch skin,11
Eyelash - pull hair,Cheek - pinch skin,11
Neck - pinch skin,Forehead - scratch,11
Eyelash - pull hair,Neck - pinch skin,10
Neck - scratch,Neck - pinch skin,10
Above ear - pull hair,Forehead - scratch,9
Neck - scratch,Wave hello,9
Pinch knee/leg skin,Write name on leg,9
Eyelash - pull hair,Forehead - pull hairline,8
Forehead - pull hairline,Eyelash - pull hair,8
Write name in air,Eyelash - pull hair,8
Eyelash - pull hair,Wave hello,7
Forehead - pull hairline,Above ear - pull hair,7
Write name in air,Pull air toward your face,7
Above ear - pull hair,Eyelash - pull hair,6
Eyebrow - pull hair,Above ear - pull hair,6
Eyelash - pull hair,Eyebrow - pull hair,6
Feel around in tray and pull out an object,Text on phone,6
Forehead - scratch,Eyelash - pull hair,6
Neck - pinch skin,Forehead - pull hairline,6
Scratch knee/leg skin,Write name on leg,6
Text on phone,Write name in air,6
Wave hello,Eyelash - pull hair,6
Cheek - pinch skin,Forehead - scratch,5
Drink from bottle/cup,Text on phone,5
Forehead - pull hairline,Cheek - pinch skin,5
Forehead - scratch,Eyebrow - pull hair,5
Neck - pinch skin,Wave hello,5
Neck - scratch,Forehead - pull hairline,5
Pull air toward your face,Write name in air,5
Scratch knee/leg skin,Pinch knee/leg skin,5
Above ear - pull hair,Forehead - pull hairline,4
Cheek - pinch skin,Above ear - pull hair,4
Cheek - pinch skin,Text on phone,4
Eyebrow - pull hair,Cheek - pinch skin,4
Eyebrow - pull hair,Neck - pinch skin,4
