Class,Precision,Recall,F1,Support
Neck - pinch skin,0.16363636363636364,0.09375,0.11920529801324503,96
Scratch knee/leg skin,0.3333333333333333,0.08333333333333333,0.13333333333333333,24
Eyebrow - pull hair,0.3142857142857143,0.11458333333333333,0.16793893129770993,96
Neck - scratch,0.3953488372093023,0.17708333333333334,0.2446043165467626,96
Eyelash - pull hair,0.19745222929936307,0.3229166666666667,0.2450592885375494,96
Pinch knee/leg skin,0.3125,0.20833333333333334,0.25,24
Cheek - pinch skin,0.3076923076923077,0.2916666666666667,0.2994652406417112,96
Write name in air,0.37254901960784315,0.2714285714285714,0.3140495867768595,70
Wave hello,0.2748091603053435,0.5070422535211268,0.3564356435643564,71
Write name on leg,0.37037037037037035,0.4166666666666667,0.39215686274509803,24
Forehead - pull hairline,0.3870967741935484,0.5,0.43636363636363634,96
Forehead - scratch,0.3618421052631579,0.5729166666666666,0.4435483870967742,96
Pull air toward your face,0.5818181818181818,0.45714285714285713,0.512,70
Feel around in tray and pull out an object,0.4827586206896552,0.5833333333333334,0.5283018867924528,24
Drink from bottle/cup,0.7857142857142857,0.4583333333333333,0.5789473684210527,24
Above ear - pull hair,0.5675675675675675,0.65625,0.6086956521739131,96
Text on phone,0.6990291262135923,0.75,0.7236180904522613,96
Glasses on/off,0.8947368421052632,0.7083333333333334,0.7906976744186046,24
