true_region,correct,total,accuracy
Scratch knee/leg skin,2,24,0.08333333333333333
Eyebrow,11,96,0.11458333333333333
Neck,26,192,0.13541666666666666
Pinch knee/leg skin,5,24,0.20833333333333334
Write name in air,19,70,0.2714285714285714
Cheek,28,96,0.2916666666666667
Eyelash,31,96,0.3229166666666667
Write name on leg,10,24,0.4166666666666667
Pull air toward your face,32,70,0.45714285714285713
Drink from bottle/cup,11,24,0.4583333333333333
Wave hello,36,71,0.5070422535211268
Forehead,103,192,0.5364583333333334
Feel around in tray and pull out an object,14,24,0.5833333333333334
Above ear,63,96,0.65625
Glasses on/off,17,24,0.7083333333333334
Text on phone,72,96,0.75
