Class,AUC
Neck - pinch skin,0.7642382754526565
Eyelash - pull hair,0.7746734936182844
Neck - scratch,0.7760926832888098
Cheek - pinch skin,0.7961746809142178
Eyebrow - pull hair,0.8005342831700801
Forehead - pull hairline,0.8610307212822796
Forehead - scratch,0.8872532650638171
Write name on leg,0.8933403068340308
Above ear - pull hair,0.908643143365984
Wave hello,0.9125484615007116
Write name in air,0.9133283600646525
Pinch knee/leg skin,0.9392259414225942
Pull air toward your face,0.947171453437772
Scratch knee/leg skin,0.9513598326359832
Text on phone,0.9675998070644107
Feel around in tray and pull out an object,0.9725941422594142
Drink from bottle/cup,0.978905160390516
Glasses on/off,0.9839958158995816
