Class,Precision,Recall,F1,Support
Pinch knee/leg skin,0.11764705882352941,0.08333333333333333,0.0975609756097561,24
Eyebrow - pull hair,0.25,0.08333333333333333,0.125,96
Forehead - pull hairline,0.32653061224489793,0.16666666666666666,0.2206896551724138,96
Scratch knee/leg skin,0.25,0.20833333333333334,0.22727272727272727,24
Cheek - pinch skin,0.2702702702702703,0.20833333333333334,0.23529411764705882,96
Neck - scratch,0.36538461538461536,0.19791666666666666,0.25675675675675674,96
Eyelash - pull hair,0.21621621621621623,0.4166666666666667,0.2846975088967972,96
Neck - pinch skin,0.2571428571428571,0.46875,0.33210332103321033,96
Write name on leg,0.3,0.625,0.40540540540540543,24
Above ear - pull hair,0.4794520547945205,0.3645833333333333,0.41420118343195267,96
Forehead - scratch,0.34459459459459457,0.53125,0.4180327868852459,96
Write name in air,0.5666666666666667,0.4857142857142857,0.5230769230769231,70
Feel around in tray and pull out an object,0.5862068965517241,0.7083333333333334,0.6415094339622641,24
Wave hello,0.7543859649122807,0.6056338028169014,0.671875,71
Pull air toward your face,0.875,0.7,0.7777777777777778,70
Glasses on/off,0.9,0.75,0.8181818181818182,24
Text on phone,0.8144329896907216,0.8229166666666666,0.8186528497409327,96
Drink from bottle/cup,0.84,0.875,0.8571428571428571,24
