Class,AUC
Eyelash - pull hair,0.7763802315227071
Eyebrow - pull hair,0.7886427723360047
Cheek - pinch skin,0.7988368210151381
Neck - pinch skin,0.8251242950430395
Neck - scratch,0.8283151528643514
Forehead - pull hairline,0.8437407242505195
Forehead - scratch,0.8705754674977739
Above ear - pull hair,0.8711505639655684
Write name in air,0.939301255750342
Wave hello,0.961727683172204
Scratch knee/leg skin,0.9646443514644352
Pull air toward your face,0.9709685440755937
Pinch knee/leg skin,0.971792189679219
Write name on leg,0.972907949790795
Text on phone,0.9887021371326803
Feel around in tray and pull out an object,0.9925034867503487
Glasses on/off,0.9978730822873083
Drink from bottle/cup,0.9993375174337518
