True_Gesture,Predicted_Gesture,Count
Cheek - pinch skin,Eyelash - pull hair,37
Eyebrow - pull hair,Eyelash - pull hair,30
Forehead - pull hairline,Eyelash - pull hair,27
Neck - pinch skin,Eyelash - pull hair,25
Forehead - scratch,Eyelash - pull hair,24
Neck - scratch,Eyelash - pull hair,22
Forehead - pull hairline,Eyebrow - pull hair,21
Above ear - pull hair,Neck - scratch,20
Forehead - pull hairline,Forehead - scratch,20
Above ear - pull hair,Neck - pinch skin,19
Neck - pinch skin,Neck - scratch,19
Eyelash - pull hair,Eyebrow - pull hair,17
Cheek - pinch skin,Eyebrow - pull hair,16
Wave hello,Write name in air,15
Neck - pinch skin,Above ear - pull hair,14
Above ear - pull hair,Eyelash - pull hair,13
Eyelash - pull hair,Forehead - scratch,13
Eyebrow - pull hair,Forehead - scratch,11
Forehead - scratch,Eyebrow - pull hair,11
Above ear - pull hair,Eyebrow - pull hair,9
Eyebrow - pull hair,Neck - scratch,9
Forehead - pull hairline,Neck - scratch,9
Write name in air,Wave hello,9
Write name on leg,Pinch knee/leg skin,9
Cheek - pinch skin,Neck - scratch,8
Forehead - scratch,Neck - scratch,8
Neck - scratch,Above ear - pull hair,8
Neck - scratch,Eyebrow - pull hair,8
Neck - scratch,Forehead - scratch,8
Pinch knee/leg skin,Scratch knee/leg skin,8
Write name in air,Above ear - pull hair,8
Cheek - pinch skin,Neck - pinch skin,7
Eyelash - pull hair,Neck - pinch skin,7
Eyelash - pull hair,Neck - scratch,7
Neck - pinch skin,Cheek - pinch skin,7
Neck - pinch skin,Eyebrow - pull hair,7
Scratch knee/leg skin,Pinch knee/leg skin,7
Write name on leg,Scratch knee/leg skin,7
Above ear - pull hair,Forehead - pull hairline,6
Neck - scratch,Text on phone,6
Pull air toward your face,Above ear - pull hair,6
Wave hello,Pull air toward your face,6
Write name in air,Eyelash - pull hair,6
Eyebrow - pull hair,Cheek - pinch skin,5
Eyebrow - pull hair,Forehead - pull hairline,5
Neck - scratch,Cheek - pinch skin,5
Pull air toward your face,Write name in air,5
Text on phone,Neck - scratch,5
Write name in air,Pull air toward your face,5
Forehead - pull hairline,Neck - pinch skin,4
Forehead - scratch,Forehead - pull hairline,4
Neck - pinch skin,Forehead - scratch,4
Neck - scratch,Neck - pinch skin,4
Pull air toward your face,Wave hello,4
Scratch knee/leg skin,Text on phone,4
Scratch knee/leg skin,Write name on leg,4
Wave hello,Neck - scratch,4
Above ear - pull hair,Forehead - scratch,3
Cheek - pinch skin,Above ear - pull hair,3
Cheek - pinch skin,Feel around in tray and pull out an object,3
Cheek - pinch skin,Forehead - pull hairline,3
Cheek - pinch skin,Forehead - scratch,3
Eyebrow - pull hair,Neck - pinch skin,3
Eyebrow - pull hair,Text on phone,3
Eyelash - pull hair,Feel around in tray and pull out an object,3
Feel around in tray and pull out an object,Scratch knee/leg skin,3
Forehead - scratch,Neck - pinch skin,3
Forehead - scratch,Text on phone,3
Pull air toward your face,Eyelash - pull hair,3
Pull air toward your face,Glasses on/off,3
Above ear - pull hair,Feel around in tray and pull out an object,2
Above ear - pull hair,Pull air toward your face,2
Cheek - pinch skin,Text on phone,2
Drink from bottle/cup,Forehead - pull hairline,2
Eyebrow - pull hair,Above ear - pull hair,2
Eyelash - pull hair,Cheek - pinch skin,2
