Class,Precision,Recall,F1,Support
Forehead - pull hairline,0.21621621621621623,0.08333333333333333,0.12030075187969924,96
Cheek - pinch skin,0.3055555555555556,0.11458333333333333,0.16666666666666666,96
Neck - pinch skin,0.2153846153846154,0.14583333333333334,0.17391304347826086,96
Write name on leg,0.2857142857142857,0.16666666666666666,0.21052631578947367,24
Above ear - pull hair,0.2878787878787879,0.19791666666666666,0.2345679012345679,96
Eyelash - pull hair,0.1724137931034483,0.4166666666666667,0.24390243902439024,96
Eyebrow - pull hair,0.22131147540983606,0.28125,0.24770642201834864,96
Neck - scratch,0.2231404958677686,0.28125,0.2488479262672811,96
Scratch knee/leg skin,0.25,0.25,0.25,24
Pinch knee/leg skin,0.3333333333333333,0.375,0.35294117647058826,24
Forehead - scratch,0.35514018691588783,0.3958333333333333,0.37438423645320196,96
Write name in air,0.559322033898305,0.4714285714285714,0.5116279069767442,70
Feel around in tray and pull out an object,0.4444444444444444,0.6666666666666666,0.5333333333333333,24
Wave hello,0.7222222222222222,0.5492957746478874,0.624,71
Pull air toward your face,0.7096774193548387,0.6285714285714286,0.6666666666666666,70
Text on phone,0.7363636363636363,0.84375,0.7864077669902912,96
Drink from bottle/cup,0.8571428571428571,0.75,0.8,24
Glasses on/off,0.7692307692307693,0.8333333333333334,0.8,24
