true_region,correct,total,accuracy
Write name on leg,1,24,0.041666666666666664
Cheek,8,96,0.08333333333333333
Eyebrow,29,96,0.3020833333333333
Eyelash,30,96,0.3125
Forehead,65,192,0.3385416666666667
Neck,65,192,0.3385416666666667
Above ear,35,96,0.3645833333333333
Pinch knee/leg skin,11,24,0.4583333333333333
Scratch knee/leg skin,14,24,0.5833333333333334
Write name in air,41,70,0.5857142857142857
Drink from bottle/cup,15,24,0.625
Feel around in tray and pull out an object,15,24,0.625
Wave hello,45,71,0.6338028169014085
Pull air toward your face,52,70,0.7428571428571429
Glasses on/off,20,24,0.8333333333333334
Text on phone,85,96,0.8854166666666666
