Class,AUC
Eyelash - pull hair,0.7902289254971802
Eyebrow - pull hair,0.7951265212229148
Neck - pinch skin,0.8020833333333334
Cheek - pinch skin,0.8080012615019294
Neck - scratch,0.8319141436628079
Forehead - pull hairline,0.8337507420599586
Above ear - pull hair,0.8790720540219651
Forehead - scratch,0.888431285247848
Write name in air,0.9514484645032948
Scratch knee/leg skin,0.9740934449093445
Wave hello,0.9767384796584385
Write name on leg,0.9771966527196653
Pinch knee/leg skin,0.9785216178521619
Pull air toward your face,0.9829665547681213
Feel around in tray and pull out an object,0.9892608089260808
Text on phone,0.9911045562481449
Glasses on/off,0.9935146443514644
Drink from bottle/cup,0.9967224546722455
