True_Gesture,Predicted_Gesture,Count
Neck - scratch,Neck - pinch skin,35
Forehead - pull hairline,Forehead - scratch,28
Cheek - pinch skin,Eyelash - pull hair,24
Eyebrow - pull hair,Eyelash - pull hair,22
Eyebrow - pull hair,Forehead - scratch,21
Neck - pinch skin,Neck - scratch,19
Pinch knee/leg skin,Scratch knee/leg skin,15
Eyelash - pull hair,Cheek - pinch skin,14
Wave hello,Write name in air,14
Forehead - scratch,Eyebrow - pull hair,12
Neck - pinch skin,Cheek - pinch skin,12
Write name in air,Wave hello,12
Eyebrow - pull hair,Forehead - pull hairline,11
Cheek - pinch skin,Neck - pinch skin,10
Forehead - scratch,Forehead - pull hairline,10
Neck - scratch,Cheek - pinch skin,10
Write name on leg,Scratch knee/leg skin,10
Eyelash - pull hair,Eyebrow - pull hair,9
Eyelash - pull hair,Forehead - scratch,9
Neck - pinch skin,Above ear - pull hair,9
Pull air toward your face,Write name in air,7
Wave hello,Pull air toward your face,7
Forehead - pull hairline,Eyebrow - pull hair,6
Neck - scratch,Above ear - pull hair,6
Pull air toward your face,Wave hello,6
Scratch knee/leg skin,Write name on leg,6
Write name in air,Pull air toward your face,6
Above ear - pull hair,Neck - scratch,5
Cheek - pinch skin,Neck - scratch,5
Forehead - pull hairline,Above ear - pull hair,5
Neck - scratch,Text on phone,5
Cheek - pinch skin,Forehead - scratch,4
Drink from bottle/cup,Pull air toward your face,4
Eyebrow - pull hair,Above ear - pull hair,4
Eyebrow - pull hair,Neck - scratch,4
Eyelash - pull hair,Forehead - pull hairline,4
Eyelash - pull hair,Neck - scratch,4
Forehead - pull hairline,Eyelash - pull hair,4
Forehead - scratch,Eyelash - pull hair,4
Neck - pinch skin,Eyelash - pull hair,4
Neck - scratch,Eyelash - pull hair,4
Pinch knee/leg skin,Write name on leg,4
Scratch knee/leg skin,Pinch knee/leg skin,4
Above ear - pull hair,Cheek - pinch skin,3
Above ear - pull hair,Eyebrow - pull hair,3
Cheek - pinch skin,Eyebrow - pull hair,3
Eyebrow - pull hair,Cheek - pinch skin,3
Forehead - scratch,Neck - pinch skin,3
Write name in air,Eyelash - pull hair,3
Above ear - pull hair,Eyelash - pull hair,2
Above ear - pull hair,Neck - pinch skin,2
Eyelash - pull hair,Above ear - pull hair,2
Forehead - scratch,Above ear - pull hair,2
Forehead - scratch,Neck - scratch,2
Pull air toward your face,Eyelash - pull hair,2
Text on phone,Cheek - pinch skin,2
Wave hello,Eyelash - pull hair,2
Write name on leg,Pinch knee/leg skin,2
Above ear - pull hair,Feel around in tray and pull out an object,1
Above ear - pull hair,Forehead - pull hairline,1
Above ear - pull hair,Forehead - scratch,1
Above ear - pull hair,Wave hello,1
Cheek - pinch skin,Above ear - pull hair,1
Cheek - pinch skin,Drink from bottle/cup,1
Cheek - pinch skin,Forehead - pull hairline,1
Cheek - pinch skin,Text on phone,1
Cheek - pinch skin,Write name in air,1
Drink from bottle/cup,Eyelash - pull hair,1
Drink from bottle/cup,Wave hello,1
Eyebrow - pull hair,Neck - pinch skin,1
Eyebrow - pull hair,Text on phone,1
Eyelash - pull hair,Wave hello,1
Feel around in tray and pull out an object,Text on phone,1
Forehead - pull hairline,Cheek - pinch skin,1
Forehead - pull hairline,Text on phone,1
Forehead - scratch,Cheek - pinch skin,1
Glasses on/off,Eyelash - pull hair,1
Glasses on/off,Pull air toward your face,1
Neck - pinch skin,Eyebrow - pull hair,1
Neck - pinch skin,Forehead - pull hairline,1
Neck - scratch,Eyebrow - pull hair,1
Neck - scratch,Feel around in tray and pull out an object,1
Neck - scratch,Forehead - pull hairline,1
Neck - scratch,Forehead - scratch,1
Neck - scratch,Write name on leg,1
Pinch knee/leg skin,Eyebrow - pull hair,1
Pull air toward your face,Cheek - pinch skin,1
Pull air toward your face,Neck - scratch,1
Scratch knee/leg skin,Eyelash - pull hair,1
Scratch knee/leg skin,Forehead - pull hairline,1
Text on phone,Above ear - pull hair,1
Text on phone,Write name in air,1
Write name in air,Neck - scratch,1
Write name in air,Scratch knee/leg skin,1
Write name on leg,Eyelash - pull hair,1
Write name on leg,Wave hello,1
