Class,Precision,Recall,F1,Support
Pinch knee/leg skin,0.24,0.25,0.24489795918367346,24
Write name on leg,0.3,0.25,0.2727272727272727,24
Neck - pinch skin,0.46296296296296297,0.2604166666666667,0.3333333333333333,96
Eyebrow - pull hair,0.39285714285714285,0.34375,0.36666666666666664,96
Eyelash - pull hair,0.371900826446281,0.46875,0.4147465437788018,96
Neck - scratch,0.43956043956043955,0.4166666666666667,0.42780748663101603,96
Cheek - pinch skin,0.42,0.4375,0.42857142857142855,96
Scratch knee/leg skin,0.4074074074074074,0.4583333333333333,0.43137254901960786,24
Forehead - scratch,0.4485294117647059,0.6354166666666666,0.5258620689655172,96
Forehead - pull hairline,0.6825396825396826,0.4479166666666667,0.5408805031446541,96
Write name in air,0.6363636363636364,0.7,0.6666666666666666,70
Wave hello,0.7121212121212122,0.6619718309859155,0.6861313868613139,71
Above ear - pull hair,0.7444444444444445,0.6979166666666666,0.7204301075268817,96
Pull air toward your face,0.8059701492537313,0.7714285714285715,0.7883211678832117,70
Feel around in tray and pull out an object,0.7241379310344828,0.875,0.7924528301886793,24
Text on phone,0.7380952380952381,0.96875,0.8378378378378378,96
Drink from bottle/cup,0.9047619047619048,0.7916666666666666,0.8444444444444444,24
Glasses on/off,1.0,0.9166666666666666,0.9565217391304348,24
