Class,AUC
Eyebrow - pull hair,0.8568937370139507
Eyelash - pull hair,0.8697592015434847
Neck - scratch,0.8729871623627189
Cheek - pinch skin,0.9040423716236273
Neck - pinch skin,0.9070569902048086
Forehead - scratch,0.9288364499851588
Forehead - pull hairline,0.9331218462451766
Above ear - pull hair,0.9459502077767883
Write name in air,0.9678105184632599
Write name on leg,0.9694909344490935
Wave hello,0.9759532806595672
Pinch knee/leg skin,0.976115760111576
Scratch knee/leg skin,0.9812761506276151
Pull air toward your face,0.9836752455551411
Text on phone,0.9945458593054319
Glasses on/off,0.9956415620641562
Drink from bottle/cup,0.9964435146443514
Feel around in tray and pull out an object,0.9975592747559274
