True_Gesture,Predicted_Gesture,Count
Neck - scratch,Neck - pinch skin,35
Eyebrow - pull hair,Eyelash - pull hair,31
Neck - pinch skin,Neck - scratch,27
Cheek - pinch skin,Eyelash - pull hair,23
Forehead - scratch,Forehead - pull hairline,20
Forehead - pull hairline,Forehead - scratch,17
Wave hello,Write name in air,15
Eyebrow - pull hair,Forehead - pull hairline,12
Eyelash - pull hair,Cheek - pinch skin,12
Forehead - scratch,Eyebrow - pull hair,12
Eyebrow - pull hair,Forehead - scratch,10
Neck - pinch skin,Above ear - pull hair,8
Write name in air,Above ear - pull hair,8
Cheek - pinch skin,Neck - pinch skin,7
Eyebrow - pull hair,Cheek - pinch skin,7
Forehead - pull hairline,Eyebrow - pull hair,7
Forehead - pull hairline,Eyelash - pull hair,7
Pinch knee/leg skin,Scratch knee/leg skin,7
Pinch knee/leg skin,Write name on leg,7
Scratch knee/leg skin,Write name on leg,7
Write name in air,Wave hello,7
Write name on leg,Scratch knee/leg skin,7
Eyelash - pull hair,Eyebrow - pull hair,6
Eyelash - pull hair,Forehead - pull hairline,6
Neck - scratch,Cheek - pinch skin,6
Scratch knee/leg skin,Pinch knee/leg skin,6
Write name in air,Eyelash - pull hair,6
Above ear - pull hair,Eyebrow - pull hair,5
Above ear - pull hair,Eyelash - pull hair,5
Above ear - pull hair,Neck - scratch,5
Cheek - pinch skin,Forehead - pull hairline,5
Cheek - pinch skin,Neck - scratch,5
Eyebrow - pull hair,Above ear - pull hair,5
Forehead - scratch,Eyelash - pull hair,5
Neck - pinch skin,Cheek - pinch skin,5
Neck - pinch skin,Eyelash - pull hair,5
Neck - scratch,Eyelash - pull hair,5
Pull air toward your face,Write name in air,5
Write name on leg,Pinch knee/leg skin,5
Above ear - pull hair,Neck - pinch skin,4
Cheek - pinch skin,Above ear - pull hair,4
Cheek - pinch skin,Eyebrow - pull hair,3
Eyelash - pull hair,Forehead - scratch,3
Eyelash - pull hair,Neck - scratch,3
Neck - scratch,Above ear - pull hair,3
Pull air toward your face,Above ear - pull hair,3
Pull air toward your face,Cheek - pinch skin,3
Pull air toward your face,Forehead - pull hairline,3
Wave hello,Pull air toward your face,3
Write name in air,Pull air toward your face,3
Above ear - pull hair,Cheek - pinch skin,2
Drink from bottle/cup,Glasses on/off,2
Eyelash - pull hair,Neck - pinch skin,2
Forehead - scratch,Above ear - pull hair,2
Forehead - scratch,Neck - pinch skin,2
Glasses on/off,Drink from bottle/cup,2
Pull air toward your face,Wave hello,2
Scratch knee/leg skin,Eyelash - pull hair,2
Text on phone,Cheek - pinch skin,2
Text on phone,Eyelash - pull hair,2
Text on phone,Neck - pinch skin,2
Text on phone,Scratch knee/leg skin,2
Text on phone,Write name on leg,2
Wave hello,Eyelash - pull hair,2
Wave hello,Feel around in tray and pull out an object,2
Write name in air,Feel around in tray and pull out an object,2
Write name in air,Neck - pinch skin,2
Write name on leg,Eyelash - pull hair,2
Above ear - pull hair,Feel around in tray and pull out an object,1
Above ear - pull hair,Forehead - pull hairline,1
Above ear - pull hair,Forehead - scratch,1
Above ear - pull hair,Pinch knee/leg skin,1
Cheek - pinch skin,Feel around in tray and pull out an object,1
Cheek - pinch skin,Text on phone,1
Drink from bottle/cup,Cheek - pinch skin,1
Drink from bottle/cup,Eyelash - pull hair,1
Eyebrow - pull hair,Neck - pinch skin,1
Eyebrow - pull hair,Neck - scratch,1
Eyelash - pull hair,Above ear - pull hair,1
Eyelash - pull hair,Write name on leg,1
Feel around in tray and pull out an object,Neck - scratch,1
Feel around in tray and pull out an object,Pinch knee/leg skin,1
Forehead - pull hairline,Above ear - pull hair,1
Forehead - pull hairline,Write name on leg,1
Forehead - scratch,Cheek - pinch skin,1
Forehead - scratch,Neck - scratch,1
Forehead - scratch,Text on phone,1
Glasses on/off,Forehead - pull hairline,1
Neck - pinch skin,Forehead - pull hairline,1
Neck - pinch skin,Scratch knee/leg skin,1
Neck - pinch skin,Text on phone,1
Neck - scratch,Eyebrow - pull hair,1
Neck - scratch,Forehead - pull hairline,1
Neck - scratch,Forehead - scratch,1
Neck - scratch,Text on phone,1
Neck - scratch,Wave hello,1
Neck - scratch,Write name on leg,1
Pinch knee/leg skin,Eyelash - pull hair,1
Pull air toward your face,Eyelash - pull hair,1
Pull air toward your face,Feel around in tray and pull out an object,1
Pull air toward your face,Text on phone,1
Scratch knee/leg skin,Forehead - pull hairline,1
Scratch knee/leg skin,Text on phone,1
Text on phone,Eyebrow - pull hair,1
Text on phone,Write name in air,1
Wave hello,Above ear - pull hair,1
Wave hello,Cheek - pinch skin,1
Wave hello,Forehead - pull hairline,1
Wave hello,Glasses on/off,1
Wave hello,Scratch knee/leg skin,1
Wave hello,Text on phone,1
Write name in air,Cheek - pinch skin,1
Write name in air,Forehead - pull hairline,1
Write name in air,Neck - scratch,1
Write name in air,Scratch knee/leg skin,1
