Class,Precision,Recall,F1,Support
Scratch knee/leg skin,0.2692307692307692,0.2916666666666667,0.28,24
Eyebrow - pull hair,0.453125,0.3020833333333333,0.3625,96
Write name on leg,0.3448275862068966,0.4166666666666667,0.37735849056603776,24
Pinch knee/leg skin,0.4090909090909091,0.375,0.391304347826087,24
Neck - scratch,0.4823529411764706,0.4270833333333333,0.4530386740331492,96
Neck - pinch skin,0.46601941747572817,0.5,0.4824120603015075,96
Eyelash - pull hair,0.3875,0.6458333333333334,0.484375,96
Cheek - pinch skin,0.5340909090909091,0.4895833333333333,0.5108695652173914,96
Forehead - scratch,0.6190476190476191,0.5416666666666666,0.5777777777777777,96
Write name in air,0.6440677966101694,0.5428571428571428,0.5891472868217055,70
Forehead - pull hairline,0.5431034482758621,0.65625,0.5943396226415094,96
Wave hello,0.8113207547169812,0.6056338028169014,0.6935483870967742,71
Above ear - pull hair,0.6635514018691588,0.7395833333333334,0.6995073891625616,96
Pull air toward your face,0.8947368421052632,0.7285714285714285,0.8031496062992126,70
Feel around in tray and pull out an object,0.7586206896551724,0.9166666666666666,0.8301886792452831,24
Drink from bottle/cup,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
Glasses on/off,0.875,0.875,0.875,24
Text on phone,0.9230769230769231,0.875,0.8983957219251337,96
