Class,AUC
Eyebrow - pull hair,0.8655665627782725
Eyelash - pull hair,0.8694067230632235
Cheek - pinch skin,0.8867616503413476
Neck - pinch skin,0.9234286880379935
Forehead - scratch,0.9260073463935886
Forehead - pull hairline,0.9275378450578806
Neck - scratch,0.9328528495102405
Above ear - pull hair,0.9535748738498071
Write name in air,0.9610095735422107
Wave hello,0.9675246601560584
Scratch knee/leg skin,0.9691422594142259
Write name on leg,0.9778591352859135
Pinch knee/leg skin,0.9806485355648535
Pull air toward your face,0.9818475693149322
Text on phone,0.9970224844167409
Glasses on/off,0.9978382147838214
Drink from bottle/cup,0.9984658298465829
Feel around in tray and pull out an object,0.9988145048814504
