Class,Precision,Recall,F1,Support
Write name on leg,0.3076923076923077,0.16666666666666666,0.21621621621621623,24
Pinch knee/leg skin,0.375,0.25,0.3,24
Eyebrow - pull hair,0.38666666666666666,0.3020833333333333,0.3391812865497076,96
Scratch knee/leg skin,0.32432432432432434,0.5,0.39344262295081966,24
Eyelash - pull hair,0.3548387096774194,0.5729166666666666,0.43824701195219123,96
Neck - scratch,0.4083333333333333,0.5104166666666666,0.4537037037037037,96
Neck - pinch skin,0.5405405405405406,0.4166666666666667,0.47058823529411764,96
Cheek - pinch skin,0.4891304347826087,0.46875,0.4787234042553192,96
Forehead - scratch,0.5581395348837209,0.5,0.5274725274725275,96
Forehead - pull hairline,0.6105263157894737,0.6041666666666666,0.6073298429319371,96
Write name in air,0.5882352941176471,0.7142857142857143,0.6451612903225806,70
Wave hello,0.8125,0.5492957746478874,0.6554621848739496,71
Pull air toward your face,0.75,0.6,0.6666666666666666,70
Above ear - pull hair,0.7954545454545454,0.7291666666666666,0.7608695652173914,96
Drink from bottle/cup,0.76,0.7916666666666666,0.7755102040816326,24
Glasses on/off,0.8333333333333334,0.8333333333333334,0.8333333333333334,24
Text on phone,0.8,0.875,0.835820895522388,96
Feel around in tray and pull out an object,0.88,0.9166666666666666,0.8979591836734694,24
