true_region,correct,total,accuracy
Write name on leg,4,24,0.16666666666666666
Pinch knee/leg skin,6,24,0.25
Eyebrow,29,96,0.3020833333333333
Neck,89,192,0.4635416666666667
Cheek,45,96,0.46875
Scratch knee/leg skin,12,24,0.5
Wave hello,39,71,0.5492957746478874
Forehead,106,192,0.5520833333333334
Eyelash,55,96,0.5729166666666666
Pull air toward your face,42,70,0.6
Write name in air,50,70,0.7142857142857143
Above ear,70,96,0.7291666666666666
Drink from bottle/cup,19,24,0.7916666666666666
Glasses on/off,20,24,0.8333333333333334
Text on phone,84,96,0.875
Feel around in tray and pull out an object,22,24,0.9166666666666666
