True_Gesture,Predicted_Gesture,Count
Neck - scratch,Neck - pinch skin,40
Neck - pinch skin,Neck - scratch,28
Eyelash - pull hair,Cheek - pinch skin,24
Forehead - pull hairline,Forehead - scratch,23
Cheek - pinch skin,Eyelash - pull hair,20
Forehead - scratch,Eyebrow - pull hair,20
Wave hello,Write name in air,17
Eyebrow - pull hair,Eyelash - pull hair,16
Pinch knee/leg skin,Scratch knee/leg skin,15
Forehead - pull hairline,Eyebrow - pull hair,14
Eyelash - pull hair,Eyebrow - pull hair,13
Eyebrow - pull hair,Forehead - scratch,12
Forehead - scratch,Forehead - pull hairline,12
Write name on leg,Scratch knee/leg skin,12
Eyebrow - pull hair,Cheek - pinch skin,10
Pull air toward your face,Write name in air,10
Write name in air,Wave hello,10
Cheek - pinch skin,Neck - pinch skin,9
Above ear - pull hair,Eyebrow - pull hair,7
Above ear - pull hair,Neck - pinch skin,6
Cheek - pinch skin,Eyebrow - pull hair,6
Eyebrow - pull hair,Forehead - pull hairline,6
Neck - pinch skin,Cheek - pinch skin,6
Neck - scratch,Cheek - pinch skin,6
Above ear - pull hair,Neck - scratch,5
Pinch knee/leg skin,Write name on leg,5
Above ear - pull hair,Cheek - pinch skin,4
Cheek - pinch skin,Neck - scratch,4
Eyelash - pull hair,Forehead - pull hairline,4
Eyelash - pull hair,Forehead - scratch,4
Eyelash - pull hair,Neck - scratch,4
Forehead - scratch,Eyelash - pull hair,4
Forehead - scratch,Neck - pinch skin,4
Neck - scratch,Eyebrow - pull hair,4
Scratch knee/leg skin,Pinch knee/leg skin,4
Write name in air,Pull air toward your face,4
Write name on leg,Pinch knee/leg skin,4
Cheek - pinch skin,Above ear - pull hair,3
Eyelash - pull hair,Neck - pinch skin,3
Forehead - pull hairline,Eyelash - pull hair,3
Neck - pinch skin,Above ear - pull hair,3
Neck - pinch skin,Eyelash - pull hair,3
Pull air toward your face,Drink from bottle/cup,3
Scratch knee/leg skin,Write name on leg,3
Text on phone,Eyelash - pull hair,3
Wave hello,Feel around in tray and pull out an object,3
Write name in air,Neck - pinch skin,3
Write name in air,Neck - scratch,3
Above ear - pull hair,Eyelash - pull hair,2
Cheek - pinch skin,Forehead - scratch,2
Eyebrow - pull hair,Above ear - pull hair,2
Eyebrow - pull hair,Neck - pinch skin,2
Eyebrow - pull hair,Neck - scratch,2
Glasses on/off,Drink from bottle/cup,2
Neck - pinch skin,Eyebrow - pull hair,2
Pull air toward your face,Wave hello,2
Scratch knee/leg skin,Text on phone,2
Text on phone,Eyebrow - pull hair,2
Text on phone,Neck - pinch skin,2
Wave hello,Pull air toward your face,2
Write name in air,Cheek - pinch skin,2
Write name in air,Feel around in tray and pull out an object,2
Above ear - pull hair,Feel around in tray and pull out an object,1
Above ear - pull hair,Forehead - pull hairline,1
Above ear - pull hair,Forehead - scratch,1
Cheek - pinch skin,Feel around in tray and pull out an object,1
Cheek - pinch skin,Forehead - pull hairline,1
Cheek - pinch skin,Text on phone,1
Drink from bottle/cup,Glasses on/off,1
Eyelash - pull hair,Above ear - pull hair,1
Eyelash - pull hair,Feel around in tray and pull out an object,1
Feel around in tray and pull out an object,Scratch knee/leg skin,1
Forehead - pull hairline,Above ear - pull hair,1
Forehead - pull hairline,Pull air toward your face,1
Forehead - pull hairline,Text on phone,1
Forehead - scratch,Cheek - pinch skin,1
Forehead - scratch,Neck - scratch,1
Forehead - scratch,Text on phone,1
Forehead - scratch,Write name on leg,1
Glasses on/off,Forehead - pull hairline,1
Neck - pinch skin,Feel around in tray and pull out an object,1
Neck - pinch skin,Text on phone,1
Neck - scratch,Above ear - pull hair,1
Neck - scratch,Forehead - pull hairline,1
Neck - scratch,Forehead - scratch,1
Neck - scratch,Text on phone,1
Neck - scratch,Wave hello,1
Pull air toward your face,Above ear - pull hair,1
Pull air toward your face,Cheek - pinch skin,1
Pull air toward your face,Eyebrow - pull hair,1
Pull air toward your face,Feel around in tray and pull out an object,1
Pull air toward your face,Forehead - pull hairline,1
Pull air toward your face,Neck - pinch skin,1
Scratch knee/leg skin,Eyelash - pull hair,1
Scratch knee/leg skin,Forehead - pull hairline,1
Text on phone,Cheek - pinch skin,1
Text on phone,Feel around in tray and pull out an object,1
Text on phone,Forehead - scratch,1
Text on phone,Scratch knee/leg skin,1
Text on phone,Write name in air,1
Text on phone,Write name on leg,1
Wave hello,Above ear - pull hair,1
Wave hello,Cheek - pinch skin,1
Wave hello,Drink from bottle/cup,1
Wave hello,Eyelash - pull hair,1
Wave hello,Forehead - pull hairline,1
Wave hello,Text on phone,1
Write name in air,Above ear - pull hair,1
Write name in air,Eyebrow - pull hair,1
Write name in air,Eyelash - pull hair,1
Write name in air,Forehead - pull hairline,1
Write name in air,Forehead - scratch,1
Write name in air,Scratch knee/leg skin,1
Write name on leg,Text on phone,1
