Class,Precision,Recall,F1,Support
Pinch knee/leg skin,0.3333333333333333,0.16666666666666666,0.2222222222222222,24
Write name on leg,0.4117647058823529,0.2916666666666667,0.34146341463414637,24
Scratch knee/leg skin,0.3023255813953488,0.5416666666666666,0.3880597014925373,24
Eyebrow - pull hair,0.39655172413793105,0.4791666666666667,0.4339622641509434,96
Eyelash - pull hair,0.4375,0.4375,0.4375,96
Neck - scratch,0.4659090909090909,0.4270833333333333,0.44565217391304346,96
Neck - pinch skin,0.4262295081967213,0.5416666666666666,0.47706422018348627,96
Cheek - pinch skin,0.4666666666666667,0.5104166666666666,0.48756218905472637,96
Forehead - scratch,0.5360824742268041,0.5416666666666666,0.538860103626943,96
Write name in air,0.5882352941176471,0.5714285714285714,0.5797101449275363,70
Forehead - pull hairline,0.6385542168674698,0.5520833333333334,0.5921787709497207,96
Wave hello,0.7678571428571429,0.6056338028169014,0.6771653543307087,71
Above ear - pull hair,0.8313253012048193,0.71875,0.770949720670391,96
Pull air toward your face,0.875,0.7,0.7777777777777778,70
Feel around in tray and pull out an object,0.6764705882352942,0.9583333333333334,0.7931034482758621,24
Drink from bottle/cup,0.7931034482758621,0.9583333333333334,0.8679245283018868,24
Text on phone,0.9021739130434783,0.8645833333333334,0.8829787234042553,96
Glasses on/off,0.9545454545454546,0.875,0.9130434782608695,24
