true_region,correct,total,accuracy
Pinch knee/leg skin,4,24,0.16666666666666666
Write name on leg,7,24,0.2916666666666667
Eyelash,42,96,0.4375
Eyebrow,46,96,0.4791666666666667
Neck,93,192,0.484375
Cheek,49,96,0.5104166666666666
Scratch knee/leg skin,13,24,0.5416666666666666
Forehead,105,192,0.546875
Write name in air,40,70,0.5714285714285714
Wave hello,43,71,0.6056338028169014
Pull air toward your face,49,70,0.7
Above ear,69,96,0.71875
Text on phone,83,96,0.8645833333333334
Glasses on/off,21,24,0.875
Drink from bottle/cup,23,24,0.9583333333333334
Feel around in tray and pull out an object,23,24,0.9583333333333334
