True_Gesture,Predicted_Gesture,Count
Forehead - pull hairline,Neck - scratch,54
Forehead - scratch,Neck - scratch,50
Eyebrow - pull hair,Neck - scratch,48
Cheek - pinch skin,Neck - scratch,47
Eyelash - pull hair,Neck - scratch,47
Write name in air,Wave hello,39
Neck - pinch skin,Neck - scratch,30
Text on phone,Neck - scratch,30
Above ear - pull hair,Neck - scratch,26
Text on phone,Scratch knee/leg skin,26
Pull air toward your face,Neck - scratch,23
Above ear - pull hair,Text on phone,19
Above ear - pull hair,Wave hello,19
Eyelash - pull hair,Neck - pinch skin,19
Pull air toward your face,Text on phone,19
Neck - pinch skin,Text on phone,18
Write name in air,Text on phone,17
Write name on leg,Scratch knee/leg skin,17
Cheek - pinch skin,Text on phone,16
Forehead - pull hairline,Text on phone,15
Neck - scratch,Text on phone,15
Pinch knee/leg skin,Scratch knee/leg skin,15
Forehead - scratch,Text on phone,14
Neck - scratch,Neck - pinch skin,14
Above ear - pull hair,Neck - pinch skin,13
Eyebrow - pull hair,Text on phone,13
Neck - scratch,Wave hello,13
Cheek - pinch skin,Neck - pinch skin,12
Eyebrow - pull hair,Neck - pinch skin,12
Pull air toward your face,Wave hello,12
Eyelash - pull hair,Text on phone,11
Drink from bottle/cup,Neck - scratch,9
Feel around in tray and pull out an object,Neck - scratch,9
Feel around in tray and pull out an object,Scratch knee/leg skin,9
Glasses on/off,Neck - scratch,9
Neck - pinch skin,Wave hello,9
Above ear - pull hair,Scratch knee/leg skin,8
Neck - pinch skin,Scratch knee/leg skin,8
Text on phone,Wave hello,8
Text on phone,Write name on leg,8
Wave hello,Text on phone,8
Drink from bottle/cup,Wave hello,7
Eyebrow - pull hair,Scratch knee/leg skin,7
Forehead - scratch,Wave hello,7
Wave hello,Glasses on/off,7
Cheek - pinch skin,Scratch knee/leg skin,6
Eyebrow - pull hair,Wave hello,6
Eyelash - pull hair,Scratch knee/leg skin,6
Forehead - pull hairline,Scratch knee/leg skin,6
Forehead - scratch,Neck - pinch skin,6
Forehead - scratch,Scratch knee/leg skin,6
Neck - pinch skin,Above ear - pull hair,6
Scratch knee/leg skin,Write name on leg,6
Cheek - pinch skin,Wave hello,5
Eyelash - pull hair,Wave hello,5
Forehead - pull hairline,Neck - pinch skin,5
Forehead - pull hairline,Wave hello,5
Neck - scratch,Drink from bottle/cup,5
Neck - scratch,Write name on leg,5
Pinch knee/leg skin,Write name on leg,5
Pull air toward your face,Drink from bottle/cup,5
Text on phone,Drink from bottle/cup,5
Above ear - pull hair,Eyelash - pull hair,4
Cheek - pinch skin,Drink from bottle/cup,4
Drink from bottle/cup,Glasses on/off,4
Eyebrow - pull hair,Write name on leg,4
Neck - scratch,Glasses on/off,4
Neck - scratch,Scratch knee/leg skin,4
Wave hello,Drink from bottle/cup,4
Wave hello,Neck - scratch,4
Write name in air,Neck - scratch,4
Cheek - pinch skin,Above ear - pull hair,3
Eyebrow - pull hair,Above ear - pull hair,3
Feel around in tray and pull out an object,Text on phone,3
Forehead - pull hairline,Write name on leg,3
Forehead - scratch,Above ear - pull hair,3
Glasses on/off,Wave hello,3
Neck - pinch skin,Glasses on/off,3
Neck - pinch skin,Write name on leg,3
Neck - scratch,Above ear - pull hair,3
Pinch knee/leg skin,Text on phone,3
Pull air toward your face,Eyelash - pull hair,3
Pull air toward your face,Glasses on/off,3
Pull air toward your face,Scratch knee/leg skin,3
Write name in air,Eyelash - pull hair,3
Write name on leg,Text on phone,3
Above ear - pull hair,Write name on leg,2
Drink from bottle/cup,Text on phone,2
Eyelash - pull hair,Drink from bottle/cup,2
Eyelash - pull hair,Glasses on/off,2
Feel around in tray and pull out an object,Wave hello,2
Forehead - pull hairline,Above ear - pull hair,2
Forehead - pull hairline,Drink from bottle/cup,2
Forehead - pull hairline,Glasses on/off,2
Forehead - scratch,Cheek - pinch skin,2
Forehead - scratch,Drink from bottle/cup,2
Forehead - scratch,Glasses on/off,2
Forehead - scratch,Write name on leg,2
Neck - pinch skin,Drink from bottle/cup,2
Neck - scratch,Eyelash - pull hair,2
Scratch knee/leg skin,Text on phone,2
Text on phone,Neck - pinch skin,2
Write name in air,Glasses on/off,2
Write name in air,Neck - pinch skin,2
Above ear - pull hair,Drink from bottle/cup,1
Above ear - pull hair,Eyebrow - pull hair,1
Above ear - pull hair,Glasses on/off,1
Cheek - pinch skin,Eyebrow - pull hair,1
Cheek - pinch skin,Eyelash - pull hair,1
Cheek - pinch skin,Write name on leg,1
Eyebrow - pull hair,Drink from bottle/cup,1
Eyebrow - pull hair,Eyelash - pull hair,1
Eyelash - pull hair,Above ear - pull hair,1
Eyelash - pull hair,Write name on leg,1
Feel around in tray and pull out an object,Drink from bottle/cup,1
Forehead - pull hairline,Eyebrow - pull hair,1
Forehead - pull hairline,Eyelash - pull hair,1
Forehead - scratch,Eyelash - pull hair,1
Glasses on/off,Above ear - pull hair,1
Glasses on/off,Drink from bottle/cup,1
Glasses on/off,Neck - pinch skin,1
Glasses on/off,Text on phone,1
Neck - pinch skin,Eyelash - pull hair,1
Neck - scratch,Cheek - pinch skin,1
Neck - scratch,Eyebrow - pull hair,1
Pull air toward your face,Eyebrow - pull hair,1
Pull air toward your face,Neck - pinch skin,1
Scratch knee/leg skin,Above ear - pull hair,1
Scratch knee/leg skin,Forehead - scratch,1
Scratch knee/leg skin,Wave hello,1
Text on phone,Above ear - pull hair,1
Wave hello,Scratch knee/leg skin,1
Write name in air,Above ear - pull hair,1
Write name in air,Drink from bottle/cup,1
Write name in air,Eyebrow - pull hair,1
