Class,Precision,Recall,F1,Support
Write name on leg,0.0,0.0,0.0,24
Forehead - pull hairline,0.2765957446808511,0.13541666666666666,0.18181818181818182,96
Eyebrow - pull hair,0.26595744680851063,0.2604166666666667,0.2631578947368421,96
Neck - pinch skin,0.29310344827586204,0.3541666666666667,0.32075471698113206,96
Neck - scratch,0.45454545454545453,0.2604166666666667,0.33112582781456956,96
Eyelash - pull hair,0.29545454545454547,0.40625,0.34210526315789475,96
Cheek - pinch skin,0.3064516129032258,0.3958333333333333,0.34545454545454546,96
Scratch knee/leg skin,0.5384615384615384,0.2916666666666667,0.3783783783783784,24
Forehead - scratch,0.3283582089552239,0.4583333333333333,0.3826086956521739,96
Above ear - pull hair,0.4823529411764706,0.4270833333333333,0.4530386740331492,96
Pinch knee/leg skin,0.4230769230769231,0.9166666666666666,0.5789473684210527,24
Write name in air,0.7058823529411765,0.6857142857142857,0.6956521739130435,70
Feel around in tray and pull out an object,0.6896551724137931,0.8333333333333334,0.7547169811320755,24
Wave hello,0.8307692307692308,0.7605633802816901,0.7941176470588235,71
Text on phone,0.8541666666666666,0.8541666666666666,0.8541666666666666,96
Pull air toward your face,0.95,0.8142857142857143,0.8769230769230769,70
Drink from bottle/cup,1.0,0.7916666666666666,0.8837209302325582,24
Glasses on/off,0.8214285714285714,0.9583333333333334,0.8846153846153846,24
