true_region,correct,total,accuracy
Eyebrow,12,96,0.125
Scratch knee/leg skin,5,24,0.20833333333333334
Neck,52,192,0.2708333333333333
Eyelash,27,96,0.28125
Write name on leg,8,24,0.3333333333333333
Cheek,36,96,0.375
Forehead,72,192,0.375
Pinch knee/leg skin,11,24,0.4583333333333333
Above ear,53,96,0.5520833333333334
Write name in air,47,70,0.6714285714285714
Wave hello,55,71,0.7746478873239436
Text on phone,79,96,0.8229166666666666
Feel around in tray and pull out an object,20,24,0.8333333333333334
Pull air toward your face,59,70,0.8428571428571429
Drink from bottle/cup,22,24,0.9166666666666666
Glasses on/off,24,24,1.0
