Class,Precision,Recall,F1,Support
Eyebrow - pull hair,0.17894736842105263,0.17708333333333334,0.17801047120418848,96
Cheek - pinch skin,0.22950819672131148,0.14583333333333334,0.17834394904458598,96
Eyelash - pull hair,0.20454545454545456,0.1875,0.1956521739130435,96
Write name on leg,0.5714285714285714,0.16666666666666666,0.25806451612903225,24
Neck - pinch skin,0.24096385542168675,0.4166666666666667,0.3053435114503817,96
Scratch knee/leg skin,0.625,0.20833333333333334,0.3125,24
Neck - scratch,0.2777777777777778,0.3645833333333333,0.3153153153153153,96
Forehead - pull hairline,0.34831460674157305,0.3229166666666667,0.33513513513513515,96
Forehead - scratch,0.36363636363636365,0.3333333333333333,0.34782608695652173,96
Above ear - pull hair,0.3793103448275862,0.34375,0.36065573770491804,96
Write name in air,0.5555555555555556,0.35714285714285715,0.43478260869565216,70
Pinch knee/leg skin,0.3541666666666667,0.7083333333333334,0.4722222222222222,24
Feel around in tray and pull out an object,0.6153846153846154,0.6666666666666666,0.64,24
Wave hello,0.6984126984126984,0.6197183098591549,0.6567164179104478,71
Drink from bottle/cup,0.7727272727272727,0.7083333333333334,0.7391304347826086,24
Pull air toward your face,0.8225806451612904,0.7285714285714285,0.7727272727272727,70
Text on phone,0.7168141592920354,0.84375,0.7751196172248804,96
Glasses on/off,0.84,0.875,0.8571428571428571,24
