Class,AUC
Eyebrow - pull hair,0.7712507420599585
Cheek - pinch skin,0.7900248590086077
Eyelash - pull hair,0.7990594390026714
Neck - scratch,0.8114796675571385
Neck - pinch skin,0.8182138616800237
Forehead - pull hairline,0.8214047195013356
Forehead - scratch,0.8256993915108342
Above ear - pull hair,0.854240872662511
Write name in air,0.8774337933606863
Write name on leg,0.9688284518828452
Wave hello,0.9714015802129852
Scratch knee/leg skin,0.9725592747559275
Pull air toward your face,0.9760910108168595
Pinch knee/leg skin,0.9787656903765689
Text on phone,0.9839900563965569
Feel around in tray and pull out an object,0.9858786610878661
Drink from bottle/cup,0.9953626220362622
Glasses on/off,0.997071129707113
