True_Gesture,Predicted_Gesture,Count
Forehead - pull hairline,Forehead - scratch,34
Eyebrow - pull hair,Forehead - scratch,22
Cheek - pinch skin,Eyelash - pull hair,21
Eyelash - pull hair,Forehead - scratch,20
Eyebrow - pull hair,Eyelash - pull hair,19
Above ear - pull hair,Neck - scratch,17
Wave hello,Write name in air,17
Neck - pinch skin,Eyelash - pull hair,16
Cheek - pinch skin,Eyebrow - pull hair,15
Eyelash - pull hair,Cheek - pinch skin,15
Eyelash - pull hair,Eyebrow - pull hair,15
Neck - scratch,Neck - pinch skin,15
Eyebrow - pull hair,Cheek - pinch skin,14
Neck - pinch skin,Neck - scratch,14
Above ear - pull hair,Neck - pinch skin,13
Neck - scratch,Eyelash - pull hair,13
Above ear - pull hair,Cheek - pinch skin,12
Forehead - pull hairline,Cheek - pinch skin,12
Forehead - pull hairline,Eyelash - pull hair,12
Write name on leg,Pinch knee/leg skin,12
Neck - pinch skin,Above ear - pull hair,11
Neck - scratch,Cheek - pinch skin,11
Forehead - scratch,Eyelash - pull hair,10
Forehead - scratch,Neck - scratch,10
Neck - pinch skin,Cheek - pinch skin,10
Write name in air,Wave hello,10
Above ear - pull hair,Eyelash - pull hair,9
Above ear - pull hair,Forehead - pull hairline,9
Scratch knee/leg skin,Pinch knee/leg skin,9
Eyelash - pull hair,Neck - pinch skin,8
Forehead - scratch,Eyebrow - pull hair,8
Cheek - pinch skin,Forehead - pull hairline,7
Feel around in tray and pull out an object,Scratch knee/leg skin,7
Pinch knee/leg skin,Write name on leg,7
Cheek - pinch skin,Forehead - scratch,6
Cheek - pinch skin,Neck - scratch,6
Eyebrow - pull hair,Neck - scratch,6
Eyelash - pull hair,Neck - scratch,6
Forehead - pull hairline,Eyebrow - pull hair,6
Forehead - scratch,Cheek - pinch skin,6
Neck - scratch,Forehead - scratch,6
Neck - scratch,Text on phone,6
Pull air toward your face,Above ear - pull hair,6
Write name in air,Above ear - pull hair,6
Above ear - pull hair,Forehead - scratch,5
Cheek - pinch skin,Neck - pinch skin,5
Eyebrow - pull hair,Forehead - pull hairline,5
Forehead - pull hairline,Neck - pinch skin,5
Forehead - scratch,Forehead - pull hairline,5
Neck - pinch skin,Eyebrow - pull hair,5
Neck - pinch skin,Forehead - pull hairline,5
Neck - pinch skin,Forehead - scratch,5
Neck - scratch,Above ear - pull hair,5
Scratch knee/leg skin,Write name on leg,5
Above ear - pull hair,Eyebrow - pull hair,4
Drink from bottle/cup,Pull air toward your face,4
Eyebrow - pull hair,Neck - pinch skin,4
Forehead - scratch,Neck - pinch skin,4
Forehead - scratch,Pinch knee/leg skin,4
Text on phone,Forehead - scratch,4
Write name in air,Neck - scratch,4
Write name on leg,Scratch knee/leg skin,4
Above ear - pull hair,Write name in air,3
Cheek - pinch skin,Pinch knee/leg skin,3
Eyebrow - pull hair,Pinch knee/leg skin,3
Eyelash - pull hair,Forehead - pull hairline,3
Eyelash - pull hair,Pinch knee/leg skin,3
Forehead - pull hairline,Neck - scratch,3
Forehead - pull hairline,Pinch knee/leg skin,3
Forehead - pull hairline,Text on phone,3
Neck - pinch skin,Pinch knee/leg skin,3
Neck - pinch skin,Write name in air,3
Neck - scratch,Eyebrow - pull hair,3
Neck - scratch,Forehead - pull hairline,3
Neck - scratch,Pinch knee/leg skin,3
Pinch knee/leg skin,Scratch knee/leg skin,3
Wave hello,Forehead - pull hairline,3
Wave hello,Neck - scratch,3
Wave hello,Pull air toward your face,3
Write name in air,Cheek - pinch skin,3
Write name in air,Forehead - scratch,3
Write name in air,Pull air toward your face,3
Above ear - pull hair,Feel around in tray and pull out an object,2
Cheek - pinch skin,Write name in air,2
Drink from bottle/cup,Glasses on/off,2
Drink from bottle/cup,Text on phone,2
Eyebrow - pull hair,Above ear - pull hair,2
Eyebrow - pull hair,Text on phone,2
Feel around in tray and pull out an object,Eyebrow - pull hair,2
Feel around in tray and pull out an object,Neck - scratch,2
Forehead - pull hairline,Above ear - pull hair,2
Forehead - scratch,Above ear - pull hair,2
Glasses on/off,Write name in air,2
Neck - scratch,Write name in air,2
Pull air toward your face,Forehead - pull hairline,2
Pull air toward your face,Forehead - scratch,2
Pull air toward your face,Pinch knee/leg skin,2
Pull air toward your face,Write name in air,2
Text on phone,Above ear - pull hair,2
Text on phone,Eyebrow - pull hair,2
Text on phone,Feel around in tray and pull out an object,2
Write name in air,Eyelash - pull hair,2
Write name on leg,Text on phone,2
Above ear - pull hair,Pinch knee/leg skin,1
Above ear - pull hair,Text on phone,1
Cheek - pinch skin,Above ear - pull hair,1
Cheek - pinch skin,Drink from bottle/cup,1
Cheek - pinch skin,Feel around in tray and pull out an object,1
Cheek - pinch skin,Text on phone,1
Drink from bottle/cup,Eyebrow - pull hair,1
Drink from bottle/cup,Forehead - pull hairline,1
Drink from bottle/cup,Forehead - scratch,1
Eyebrow - pull hair,Wave hello,1
Eyebrow - pull hair,Write name in air,1
Eyelash - pull hair,Above ear - pull hair,1
Eyelash - pull hair,Scratch knee/leg skin,1
Eyelash - pull hair,Wave hello,1
Eyelash - pull hair,Write name in air,1
Feel around in tray and pull out an object,Eyelash - pull hair,1
Feel around in tray and pull out an object,Forehead - pull hairline,1
Feel around in tray and pull out an object,Pinch knee/leg skin,1
Feel around in tray and pull out an object,Write name in air,1
Feel around in tray and pull out an object,Write name on leg,1
Forehead - pull hairline,Feel around in tray and pull out an object,1
Forehead - pull hairline,Wave hello,1
Forehead - pull hairline,Write name in air,1
Forehead - scratch,Text on phone,1
Forehead - scratch,Write name in air,1
Glasses on/off,Forehead - pull hairline,1
Glasses on/off,Forehead - scratch,1
Neck - pinch skin,Text on phone,1
Neck - scratch,Feel around in tray and pull out an object,1
Neck - scratch,Write name on leg,1
Pinch knee/leg skin,Forehead - scratch,1
Pinch knee/leg skin,Neck - scratch,1
Pinch knee/leg skin,Text on phone,1
Pull air toward your face,Cheek - pinch skin,1
Pull air toward your face,Eyelash - pull hair,1
Pull air toward your face,Neck - pinch skin,1
Pull air toward your face,Neck - scratch,1
Pull air toward your face,Wave hello,1
Scratch knee/leg skin,Cheek - pinch skin,1
Scratch knee/leg skin,Eyelash - pull hair,1
Scratch knee/leg skin,Neck - scratch,1
Scratch knee/leg skin,Text on phone,1
Text on phone,Cheek - pinch skin,1
Text on phone,Drink from bottle/cup,1
Text on phone,Glasses on/off,1
Text on phone,Neck - scratch,1
Text on phone,Pinch knee/leg skin,1
Text on phone,Pull air toward your face,1
Wave hello,Above ear - pull hair,1
Wave hello,Cheek - pinch skin,1
Wave hello,Eyelash - pull hair,1
Write name in air,Eyebrow - pull hair,1
Write name in air,Forehead - pull hairline,1
Write name in air,Neck - pinch skin,1
Write name on leg,Eyelash - pull hair,1
