Class,Precision,Recall,F1,Support
Forehead - pull hairline,0.22033898305084745,0.13541666666666666,0.16774193548387098,96
Eyebrow - pull hair,0.21518987341772153,0.17708333333333334,0.19428571428571428,96
Eyelash - pull hair,0.17054263565891473,0.22916666666666666,0.19555555555555557,96
Write name on leg,0.2631578947368421,0.20833333333333334,0.23255813953488372,24
Cheek - pinch skin,0.23684210526315788,0.28125,0.2571428571428571,96
Above ear - pull hair,0.3389830508474576,0.20833333333333334,0.25806451612903225,96
Neck - pinch skin,0.2911392405063291,0.23958333333333334,0.26285714285714284,96
Pinch knee/leg skin,0.1864406779661017,0.4583333333333333,0.26506024096385544,24
Scratch knee/leg skin,0.2857142857142857,0.25,0.26666666666666666,24
Neck - scratch,0.2647058823529412,0.28125,0.2727272727272727,96
Forehead - scratch,0.2903225806451613,0.46875,0.35856573705179284,96
Feel around in tray and pull out an object,0.5333333333333333,0.3333333333333333,0.41025641025641024,24
Write name in air,0.5,0.5142857142857142,0.5070422535211268,70
Wave hello,0.75,0.5915492957746479,0.6614173228346457,71
Drink from bottle/cup,0.8666666666666667,0.5416666666666666,0.6666666666666666,24
Pull air toward your face,0.8225806451612904,0.7285714285714285,0.7727272727272727,70
Text on phone,0.7920792079207921,0.8333333333333334,0.8121827411167513,96
Glasses on/off,0.8695652173913043,0.8333333333333334,0.851063829787234,24
