true_region,correct,total,accuracy
Eyebrow,17,96,0.17708333333333334
Above ear,20,96,0.20833333333333334
Write name on leg,5,24,0.20833333333333334
Eyelash,22,96,0.22916666666666666
Scratch knee/leg skin,6,24,0.25
Neck,50,192,0.2604166666666667
Cheek,27,96,0.28125
Forehead,58,192,0.3020833333333333
Feel around in tray and pull out an object,8,24,0.3333333333333333
Pinch knee/leg skin,11,24,0.4583333333333333
Write name in air,36,70,0.5142857142857142
Drink from bottle/cup,13,24,0.5416666666666666
Wave hello,42,71,0.5915492957746479
Pull air toward your face,51,70,0.7285714285714285
Glasses on/off,20,24,0.8333333333333334
Text on phone,80,96,0.8333333333333334
