Class,AUC
Eyebrow - pull hair,0.7581812110418522
Eyelash - pull hair,0.7780127634312852
Neck - scratch,0.7881140546156129
Forehead - pull hairline,0.7910451914514693
Cheek - pinch skin,0.7958222024339566
Neck - pinch skin,0.8082702582368655
Forehead - scratch,0.8309123627189077
Above ear - pull hair,0.8514488720688631
Write name in air,0.9005097600397861
Pinch knee/leg skin,0.963807531380753
Scratch knee/leg skin,0.9647489539748954
Wave hello,0.9654021691122343
Pull air toward your face,0.9662190724853911
Feel around in tray and pull out an object,0.977231520223152
Write name on leg,0.9774058577405857
Glasses on/off,0.9817294281729427
Text on phone,0.9831830661917483
Drink from bottle/cup,0.9858437935843795
