Class,Precision,Recall,F1,Support
Eyebrow - pull hair,0.19402985074626866,0.13541666666666666,0.15950920245398773,96
Forehead - pull hairline,0.18181818181818182,0.1875,0.18461538461538463,96
Neck - pinch skin,0.20689655172413793,0.1875,0.19672131147540983,96
Eyelash - pull hair,0.18253968253968253,0.23958333333333334,0.2072072072072072,96
Neck - scratch,0.2676056338028169,0.19791666666666666,0.2275449101796407,96
Cheek - pinch skin,0.23655913978494625,0.22916666666666666,0.2328042328042328,96
Scratch knee/leg skin,0.28,0.2916666666666667,0.2857142857142857,24
Write name on leg,0.30434782608695654,0.2916666666666667,0.2978723404255319,24
Pinch knee/leg skin,0.375,0.375,0.375,24
Forehead - scratch,0.3488372093023256,0.46875,0.4,96
Above ear - pull hair,0.4148936170212766,0.40625,0.4105263157894737,96
Wave hello,0.5576923076923077,0.4084507042253521,0.4715447154471545,71
Write name in air,0.5070422535211268,0.5142857142857142,0.5106382978723404,70
Feel around in tray and pull out an object,0.46511627906976744,0.8333333333333334,0.5970149253731343,24
Drink from bottle/cup,0.5806451612903226,0.75,0.6545454545454545,24
Pull air toward your face,0.7164179104477612,0.6857142857142857,0.7007299270072993,70
Glasses on/off,0.8823529411764706,0.625,0.7317073170731707,24
Text on phone,0.72,0.75,0.7346938775510204,96
