Class,AUC
Eyelash - pull hair,0.7308734045710894
Eyebrow - pull hair,0.7546935292371624
Cheek - pinch skin,0.7669189670525378
Neck - pinch skin,0.7793020926090828
Forehead - pull hairline,0.8063130750964678
Neck - scratch,0.8085670822202434
Forehead - scratch,0.848935143959632
Above ear - pull hair,0.8543336301573167
Wave hello,0.9015556755165137
Write name in air,0.9088897177670024
Pull air toward your face,0.9416262588586347
Text on phone,0.954521000296824
Glasses on/off,0.9546373779637377
Pinch knee/leg skin,0.9592747559274757
Scratch knee/leg skin,0.9675732217573221
Write name on leg,0.9728033472803347
Feel around in tray and pull out an object,0.9757670850767086
Drink from bottle/cup,0.9936192468619246
