True_Gesture,Predicted_Gesture,Count
Forehead - pull hairline,Forehead - scratch,54
Eyebrow - pull hair,Forehead - scratch,38
Wave hello,Write name in air,33
Eyelash - pull hair,Forehead - scratch,24
Neck - scratch,Forehead - scratch,24
Neck - pinch skin,Neck - scratch,20
Above ear - pull hair,Neck - pinch skin,18
Neck - pinch skin,Above ear - pull hair,18
Pull air toward your face,Write name in air,17
Above ear - pull hair,Neck - scratch,16
Cheek - pinch skin,Forehead - scratch,16
Eyelash - pull hair,Eyebrow - pull hair,14
Neck - pinch skin,Eyebrow - pull hair,13
Neck - scratch,Above ear - pull hair,13
Cheek - pinch skin,Eyebrow - pull hair,12
Eyebrow - pull hair,Neck - scratch,11
Forehead - pull hairline,Eyebrow - pull hair,11
Forehead - pull hairline,Neck - scratch,11
Neck - pinch skin,Forehead - scratch,11
Write name in air,Above ear - pull hair,11
Cheek - pinch skin,Neck - scratch,10
Cheek - pinch skin,Above ear - pull hair,9
Cheek - pinch skin,Eyelash - pull hair,9
Cheek - pinch skin,Forehead - pull hairline,9
Cheek - pinch skin,Neck - pinch skin,9
Eyelash - pull hair,Above ear - pull hair,9
Neck - scratch,Neck - pinch skin,8
Pinch knee/leg skin,Write name on leg,8
Eyebrow - pull hair,Eyelash - pull hair,7
Eyelash - pull hair,Forehead - pull hairline,7
Eyelash - pull hair,Neck - scratch,7
Forehead - scratch,Eyebrow - pull hair,7
Forehead - scratch,Forehead - pull hairline,7
Neck - pinch skin,Eyelash - pull hair,7
Text on phone,Forehead - scratch,7
Eyebrow - pull hair,Forehead - pull hairline,6
Eyelash - pull hair,Cheek - pinch skin,6
Eyelash - pull hair,Neck - pinch skin,6
Neck - pinch skin,Cheek - pinch skin,6
Pull air toward your face,Wave hello,6
Scratch knee/leg skin,Pinch knee/leg skin,6
Scratch knee/leg skin,Write name on leg,6
Above ear - pull hair,Eyebrow - pull hair,5
Above ear - pull hair,Forehead - scratch,5
Eyebrow - pull hair,Neck - pinch skin,5
Eyebrow - pull hair,Text on phone,5
Eyelash - pull hair,Text on phone,5
Neck - scratch,Eyelash - pull hair,5
Pinch knee/leg skin,Feel around in tray and pull out an object,5
Pull air toward your face,Above ear - pull hair,5
Wave hello,Above ear - pull hair,5
Wave hello,Pull air toward your face,5
Write name in air,Feel around in tray and pull out an object,5
Write name on leg,Pinch knee/leg skin,5
Drink from bottle/cup,Text on phone,4
Eyebrow - pull hair,Cheek - pinch skin,4
Eyelash - pull hair,Write name in air,4
Forehead - pull hairline,Eyelash - pull hair,4
Glasses on/off,Above ear - pull hair,4
Neck - scratch,Eyebrow - pull hair,4
Neck - scratch,Text on phone,4
Wave hello,Feel around in tray and pull out an object,4
Write name on leg,Text on phone,4
Above ear - pull hair,Drink from bottle/cup,3
Above ear - pull hair,Eyelash - pull hair,3
Above ear - pull hair,Feel around in tray and pull out an object,3
Above ear - pull hair,Text on phone,3
Cheek - pinch skin,Feel around in tray and pull out an object,3
Feel around in tray and pull out an object,Neck - scratch,3
Forehead - pull hairline,Cheek - pinch skin,3
Forehead - pull hairline,Text on phone,3
Forehead - scratch,Neck - scratch,3
Neck - pinch skin,Feel around in tray and pull out an object,3
Neck - pinch skin,Text on phone,3
Neck - scratch,Forehead - pull hairline,3
Pull air toward your face,Feel around in tray and pull out an object,3
Write name in air,Eyelash - pull hair,3
Write name on leg,Feel around in tray and pull out an object,3
Above ear - pull hair,Write name in air,2
Cheek - pinch skin,Text on phone,2
Drink from bottle/cup,Neck - scratch,2
Feel around in tray and pull out an object,Eyelash - pull hair,2
Feel around in tray and pull out an object,Write name in air,2
Forehead - pull hairline,Write name in air,2
Forehead - scratch,Cheek - pinch skin,2
Forehead - scratch,Eyelash - pull hair,2
Forehead - scratch,Wave hello,2
Neck - pinch skin,Drink from bottle/cup,2
Pinch knee/leg skin,Scratch knee/leg skin,2
Pull air toward your face,Eyebrow - pull hair,2
Pull air toward your face,Forehead - scratch,2
Scratch knee/leg skin,Forehead - scratch,2
Scratch knee/leg skin,Text on phone,2
Text on phone,Eyebrow - pull hair,2
Text on phone,Feel around in tray and pull out an object,2
Text on phone,Neck - scratch,2
Text on phone,Scratch knee/leg skin,2
Wave hello,Neck - scratch,2
Write name in air,Cheek - pinch skin,2
Write name in air,Neck - scratch,2
Cheek - pinch skin,Write name in air,1
Drink from bottle/cup,Eyelash - pull hair,1
Drink from bottle/cup,Forehead - pull hairline,1
Drink from bottle/cup,Glasses on/off,1
Eyebrow - pull hair,Glasses on/off,1
Eyebrow - pull hair,Write name in air,1
