Class,Precision,Recall,F1,Support
Forehead - pull hairline,0.16666666666666666,0.07291666666666667,0.10144927536231885,96
Neck - pinch skin,0.2,0.125,0.15384615384615385,96
Eyelash - pull hair,0.20689655172413793,0.125,0.15584415584415584,96
Eyebrow - pull hair,0.20224719101123595,0.1875,0.1945945945945946,96
Cheek - pinch skin,0.37209302325581395,0.16666666666666666,0.2302158273381295,96
Pinch knee/leg skin,0.3125,0.20833333333333334,0.25,24
Neck - scratch,0.2777777777777778,0.3645833333333333,0.3153153153153153,96
Scratch knee/leg skin,0.5,0.25,0.3333333333333333,24
Wave hello,0.6538461538461539,0.23943661971830985,0.35051546391752575,71
Above ear - pull hair,0.3333333333333333,0.3958333333333333,0.3619047619047619,96
Write name on leg,0.36,0.375,0.3673469387755102,24
Forehead - scratch,0.27058823529411763,0.71875,0.39316239316239315,96
Feel around in tray and pull out an object,0.3125,0.625,0.4166666666666667,24
Write name in air,0.3888888888888889,0.6,0.47191011235955055,70
Pull air toward your face,0.825,0.4714285714285714,0.6,70
Drink from bottle/cup,0.6818181818181818,0.625,0.6521739130434783,24
Text on phone,0.6551724137931034,0.7916666666666666,0.7169811320754716,96
Glasses on/off,0.8421052631578947,0.6666666666666666,0.7441860465116279,24
