Class,AUC
Eyelash - pull hair,0.7182027307806471
Eyebrow - pull hair,0.7514006381715643
Neck - pinch skin,0.7710466755713862
Cheek - pinch skin,0.7878728851291183
Forehead - pull hairline,0.8051257791629564
Neck - scratch,0.8132884387058474
Above ear - pull hair,0.8415794746215495
Forehead - scratch,0.8702600920154349
Write name in air,0.900857888847445
Wave hello,0.9224984050645335
Glasses on/off,0.9394351464435147
Pull air toward your face,0.9461395001864975
Drink from bottle/cup,0.9705020920502092
Pinch knee/leg skin,0.9736401673640167
Scratch knee/leg skin,0.973884239888424
Text on phone,0.9755676758682101
Write name on leg,0.9776847977684797
Feel around in tray and pull out an object,0.9821129707112971
