Class,Precision,Recall,F1,Support
Pinch knee/leg skin,0.0,0.0,0.0,24
Wave hello,0.47368421052631576,0.1267605633802817,0.2,71
Write name in air,0.4230769230769231,0.15714285714285714,0.22916666666666666,70
Write name on leg,0.3125,0.20833333333333334,0.25,24
Eyebrow - pull hair,0.3392857142857143,0.19791666666666666,0.25,96
Eyelash - pull hair,0.3135593220338983,0.3854166666666667,0.34579439252336447,96
Scratch knee/leg skin,0.2765957446808511,0.5416666666666666,0.36619718309859156,24
Cheek - pinch skin,0.39090909090909093,0.4479166666666667,0.4174757281553398,96
Neck - pinch skin,0.5409836065573771,0.34375,0.42038216560509556,96
Forehead - pull hairline,0.5454545454545454,0.375,0.4444444444444444,96
Drink from bottle/cup,0.5625,0.375,0.45,24
Pull air toward your face,0.3313253012048193,0.7857142857142857,0.4661016949152542,70
Neck - scratch,0.3904109589041096,0.59375,0.47107438016528924,96
Forehead - scratch,0.422360248447205,0.7083333333333334,0.5291828793774319,96
Glasses on/off,0.5416666666666666,0.5416666666666666,0.5416666666666666,24
Text on phone,0.7971014492753623,0.5729166666666666,0.6666666666666666,96
Above ear - pull hair,0.6632653061224489,0.6770833333333334,0.6701030927835051,96
Feel around in tray and pull out an object,0.8947368421052632,0.7083333333333334,0.7906976744186046,24
