Class,AUC
Eyebrow - pull hair,0.8013227218759276
Eyelash - pull hair,0.8037900712377561
Cheek - pinch skin,0.871957554170377
Forehead - pull hairline,0.8802593499554764
Forehead - scratch,0.8995529088750371
Neck - scratch,0.9013524042742653
Neck - pinch skin,0.9033745176610269
Wave hello,0.9161554694017765
Write name in air,0.9173815740395375
Above ear - pull hair,0.92087785693084
Write name on leg,0.9257322175732218
Pull air toward your face,0.9286584607733432
Text on phone,0.943250964677946
Scratch knee/leg skin,0.9477684797768481
Drink from bottle/cup,0.9518479776847978
Glasses on/off,0.9581938633193864
Pinch knee/leg skin,0.9677126917712693
Feel around in tray and pull out an object,0.9943165969316597
