Class,Precision,Recall,F1,Support
Pinch knee/leg skin,0.047619047619047616,0.041666666666666664,0.044444444444444446,24
Scratch knee/leg skin,0.12903225806451613,0.16666666666666666,0.14545454545454545,24
Eyebrow - pull hair,0.3670886075949367,0.3020833333333333,0.3314285714285714,96
Write name on leg,0.3333333333333333,0.3333333333333333,0.3333333333333333,24
Write name in air,0.425531914893617,0.2857142857142857,0.3418803418803419,70
Pull air toward your face,0.46,0.32857142857142857,0.38333333333333336,70
Eyelash - pull hair,0.42201834862385323,0.4791666666666667,0.44878048780487806,96
Cheek - pinch skin,0.5,0.4166666666666667,0.45454545454545453,96
Neck - scratch,0.4725274725274725,0.4479166666666667,0.45989304812834225,96
Wave hello,0.37815126050420167,0.6338028169014085,0.47368421052631576,71
Neck - pinch skin,0.4943820224719101,0.4583333333333333,0.4756756756756757,96
Forehead - scratch,0.45871559633027525,0.5208333333333334,0.4878048780487805,96
Forehead - pull hairline,0.5463917525773195,0.5520833333333334,0.5492227979274611,96
Drink from bottle/cup,0.7058823529411765,0.5,0.5853658536585366,24
Text on phone,0.568,0.7395833333333334,0.6425339366515838,96
Above ear - pull hair,0.7010309278350515,0.7083333333333334,0.7046632124352331,96
Glasses on/off,0.8823529411764706,0.625,0.7317073170731707,24
Feel around in tray and pull out an object,1.0,0.7083333333333334,0.8292682926829268,24
