Class,AUC
Eyebrow - pull hair,0.8162474027901454
Eyelash - pull hair,0.8319697981596913
Cheek - pinch skin,0.8457535618878006
Forehead - scratch,0.89993321460374
Neck - scratch,0.9009442712971208
Scratch knee/leg skin,0.9047071129707113
Forehead - pull hairline,0.9093388245770259
Above ear - pull hair,0.9135500148411992
Neck - pinch skin,0.9154700949836746
Wave hello,0.9247313147175737
Pinch knee/leg skin,0.9275453277545327
Write name in air,0.9278751709561109
Write name on leg,0.9341701534170153
Text on phone,0.9380750964677946
Pull air toward your face,0.9383563347009822
Drink from bottle/cup,0.9531032078103208
Glasses on/off,0.9716875871687587
Feel around in tray and pull out an object,0.9938633193863319
